Ressource	TypeID	Buy_ISK_pro_Stueck	Sell_ISK_pro_Stueck	Region	Aktive_Abrechnung	Quelle	Stand
Clear Icicle	16262	213500	226784.62	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Kernite	20	339.87	482.09	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Kernite II-Grade	17452	149.09	149.2	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Kernite III-Grade	17453	167.1	250	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Omber	1227	78.05	249.81	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Omber II-Grade	17867	82.11	100	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Pyroxeres	1224	25	32.13	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Pyroxeres II-Grade	17459	26	30.3	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Pyroxeres III-Grade	17460	27.5	30	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Scordite	1228	20	19.81	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Scordite II-Grade	17463	20.25	20.22	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Scordite III-Grade	17464	20.4	19.36	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Veldspar	1230	9.8	10.92	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Veldspar II-Grade	17470	11	11.7	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Veldspar III-Grade	17471	10.66	12.27	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
Zeolites	45490	115.86	999	Domain / Amarr	seller	EVE Tycoon stats buyAvgFivePercent/sellAvgFivePercent	2026-05-06
